Study_Period,Serotype,Vaccine_Status,Cases,Total_Cases
Late (Jun 2014-Dec 2019),10A,No PCV doses,1,100
Late (Jun 2014-Dec 2019),10A,1-2 PCV13 doses,7,353
Late (Jun 2014-Dec 2019),10A,3+ PCV13 doses,18,708
Late (Jun 2014-Dec 2019),12F,No PCV doses,0,100
Late (Jun 2014-Dec 2019),12F,1-2 PCV13 doses,6,353
Late (Jun 2014-Dec 2019),12F,3+ PCV13 doses,7,708
Late (Jun 2014-Dec 2019),23A,No PCV doses,1,100
Late (Jun 2014-Dec 2019),23A,1-2 PCV13 doses,2,353
Late (Jun 2014-Dec 2019),23A,3+ PCV13 doses,10,708
Late (Jun 2014-Dec 2019),15A,No PCV doses,3,100
Late (Jun 2014-Dec 2019),15A,1-2 PCV13 doses,4,353
Late (Jun 2014-Dec 2019),15A,3+ PCV13 doses,29,708
Late (Jun 2014-Dec 2019),21,No PCV doses,1,100
Late (Jun 2014-Dec 2019),21,1-2 PCV13 doses,4,353
Late (Jun 2014-Dec 2019),21,3+ PCV13 doses,11,708
Late (Jun 2014-Dec 2019),11A,No PCV doses,1,100
Late (Jun 2014-Dec 2019),11A,1-2 PCV13 doses,4,353
Late (Jun 2014-Dec 2019),11A,3+ PCV13 doses,6,708
Late (Jun 2014-Dec 2019),35F,No PCV doses,0,100
Late (Jun 2014-Dec 2019),35F,1-2 PCV13 doses,5,353
Late (Jun 2014-Dec 2019),35F,3+ PCV13 doses,8,708
Late (Jun 2014-Dec 2019),8,No PCV doses,0,100
Late (Jun 2014-Dec 2019),8,1-2 PCV13 doses,1,353
Late (Jun 2014-Dec 2019),8,3+ PCV13 doses,2,708
Late (Jun 2014-Dec 2019),9N,No PCV doses,2,100
Late (Jun 2014-Dec 2019),9N,1-2 PCV13 doses,4,353
Late (Jun 2014-Dec 2019),9N,3+ PCV13 doses,2,708
Late (Jun 2014-Dec 2019),16F,No PCV doses,1,100
Late (Jun 2014-Dec 2019),16F,1-2 PCV13 doses,6,353
Late (Jun 2014-Dec 2019),16F,3+ PCV13 doses,14,708
Late (Jun 2014-Dec 2019),15B/C,No PCV doses,0,100
Late (Jun 2014-Dec 2019),15B/C,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),15B/C,3+ PCV13 doses,0,708
Late (Jun 2014-Dec 2019),7C,No PCV doses,1,100
Late (Jun 2014-Dec 2019),7C,1-2 PCV13 doses,2,353
Late (Jun 2014-Dec 2019),7C,3+ PCV13 doses,7,708
Late (Jun 2014-Dec 2019),31,No PCV doses,0,100
Late (Jun 2014-Dec 2019),31,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),31,3+ PCV13 doses,4,708
Late (Jun 2014-Dec 2019),20,No PCV doses,0,100
Late (Jun 2014-Dec 2019),20,1-2 PCV13 doses,1,353
Late (Jun 2014-Dec 2019),20,3+ PCV13 doses,2,708
Late (Jun 2014-Dec 2019),17F,No PCV doses,0,100
Late (Jun 2014-Dec 2019),17F,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),17F,3+ PCV13 doses,4,708
Late (Jun 2014-Dec 2019),28A,No PCV doses,0,100
Late (Jun 2014-Dec 2019),28A,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),28A,3+ PCV13 doses,2,708
Late (Jun 2014-Dec 2019),34,No PCV doses,0,100
Late (Jun 2014-Dec 2019),34,1-2 PCV13 doses,2,353
Late (Jun 2014-Dec 2019),34,3+ PCV13 doses,4,708
Late (Jun 2014-Dec 2019),11B,No PCV doses,0,100
Late (Jun 2014-Dec 2019),11B,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),11B,3+ PCV13 doses,0,708
Late (Jun 2014-Dec 2019),10F,No PCV doses,0,100
Late (Jun 2014-Dec 2019),10F,1-2 PCV13 doses,2,353
Late (Jun 2014-Dec 2019),10F,3+ PCV13 doses,0,708
Late (Jun 2014-Dec 2019),33A,No PCV doses,0,100
Late (Jun 2014-Dec 2019),33A,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),33A,3+ PCV13 doses,2,708
Late (Jun 2014-Dec 2019),15F,No PCV doses,0,100
Late (Jun 2014-Dec 2019),15F,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),15F,3+ PCV13 doses,2,708
Late (Jun 2014-Dec 2019),18F,No PCV doses,2,100
Late (Jun 2014-Dec 2019),18F,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),18F,3+ PCV13 doses,0,708
Late (Jun 2014-Dec 2019),35D,No PCV doses,0,100
Late (Jun 2014-Dec 2019),35D,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),35D,3+ PCV13 doses,2,708
Late (Jun 2014-Dec 2019),24F/24A/24,No PCV doses,0,100
Late (Jun 2014-Dec 2019),24F/24A/24,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),24F/24A/24,3+ PCV13 doses,2,708
Late (Jun 2014-Dec 2019),24F/A/B,No PCV doses,0,100
Late (Jun 2014-Dec 2019),24F/A/B,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),24F/A/B,3+ PCV13 doses,2,708
Late (Jun 2014-Dec 2019),35B:35D,No PCV doses,0,100
Late (Jun 2014-Dec 2019),35B:35D,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),35B:35D,3+ PCV13 doses,2,708
Late (Jun 2014-Dec 2019),NT,No PCV doses,0,100
Late (Jun 2014-Dec 2019),NT,1-2 PCV13 doses,0,353
Late (Jun 2014-Dec 2019),NT,3+ PCV13 doses,2,708
